timestamp,kw_import,kw_export,kvar_import,kvar_export
2025-11-01 00:30:00,1007,0,236,0
2025-11-01 01:00:00,873,0,182,0
2025-11-01 01:30:00,1139,0,298,0
2025-11-01 02:00:00,1277,0,406,0
2025-11-01 02:30:00,1322,0,399,0
2025-11-01 03:00:00,1331,0,415,0
2025-11-01 03:30:00,1424,0,464,0
2025-11-01 04:00:00,1223,0,365,0
2025-11-01 04:30:00,1263,0,383,0
2025-11-01 05:00:00,1234,0,378,0
2025-11-01 05:30:00,1215,0,354,0
2025-11-01 06:00:00,1094,0,317,0
2025-11-01 06:30:00,883,0,202,0
2025-11-01 07:00:00,1151,0,319,0
2025-11-01 07:30:00,1227,0,383,0
2025-11-01 08:00:00,1027,0,255,0
2025-11-01 08:30:00,932,0,296,0
2025-11-01 09:00:00,1023,0,373,0
2025-11-01 09:30:00,1104,0,424,0
2025-11-01 10:00:00,1146,0,442,0
2025-11-01 10:30:00,1039,0,424,0
2025-11-01 11:00:00,974,0,400,0
2025-11-01 11:30:00,925,0,378,0
2025-11-01 12:00:00,1414,0,456,0
2025-11-01 12:30:00,1318,0,455,0
2025-11-01 13:00:00,935,0,388,0
2025-11-01 13:30:00,481,0,216,0
2025-11-01 14:00:00,264,0,174,0
2025-11-01 14:30:00,707,0,376,0
2025-11-01 15:00:00,1056,0,487,0
2025-11-01 15:30:00,1042,0,432,0
2025-11-01 16:00:00,1126,0,441,0
2025-11-01 16:30:00,1109,0,455,0
2025-11-01 17:00:00,598,0,228,0
2025-11-01 17:30:00,502,0,157,0
2025-11-01 18:00:00,808,0,226,0
2025-11-01 18:30:00,903,0,254,0
2025-11-01 19:00:00,889,0,248,0
2025-11-01 19:30:00,939,0,234,0
2025-11-01 20:00:00,841,0,229,0
2025-11-01 20:30:00,1022,0,303,0
2025-11-01 21:00:00,1271,0,390,0
2025-11-01 21:30:00,1243,0,391,0
2025-11-01 22:00:00,1208,0,352,0
2025-11-01 22:30:00,1242,0,394,0
2025-11-01 23:00:00,1261,0,374,0
2025-11-01 23:30:00,1256,0,397,0
2025-11-02 00:00:00,1242,0,365,0
2025-11-02 00:30:00,1038,0,271,0
2025-11-02 01:00:00,961,0,248,0
2025-11-02 01:30:00,1075,0,312,0
2025-11-02 02:00:00,1088,0,298,0
2025-11-02 02:30:00,1315,0,431,0
2025-11-02 03:00:00,1241,0,399,0
2025-11-02 03:30:00,1202,0,372,0
2025-11-02 04:00:00,1315,0,410,0
2025-11-02 04:30:00,1157,0,363,0
2025-11-02 05:00:00,926,0,261,0
2025-11-02 05:30:00,873,0,273,0
2025-11-02 06:00:00,850,0,247,0
2025-11-02 06:30:00,708,0,184,0
2025-11-02 07:00:00,876,0,263,0
2025-11-02 07:30:00,846,0,239,0
2025-11-02 08:00:00,657,0,138,0
2025-11-02 08:30:00,574,0,141,0
2025-11-02 09:00:00,590,0,217,0
2025-11-02 09:30:00,711,0,342,0
2025-11-02 10:00:00,902,0,393,0
2025-11-02 10:30:00,891,0,405,0
2025-11-02 11:00:00,768,0,382,0
2025-11-02 11:30:00,797,0,402,0
2025-11-02 12:00:00,862,0,414,0
2025-11-02 12:30:00,716,0,359,0
2025-11-02 13:00:00,767,0,342,0
2025-11-02 13:30:00,249,0,163,0
2025-11-02 14:00:00,405,0,194,0
2025-11-02 14:30:00,1058,0,398,0
2025-11-02 15:00:00,1318,0,482,0
2025-11-02 15:30:00,1174,0,439,0
2025-11-02 16:00:00,965,0,425,0
2025-11-02 16:30:00,1265,0,465,0
2025-11-02 17:00:00,1226,0,425,0
2025-11-02 17:30:00,983,0,302,0
2025-11-02 18:00:00,1140,0,338,0
2025-11-02 18:30:00,996,0,294,0
2025-11-02 19:00:00,981,0,272,0
2025-11-02 19:30:00,890,0,225,0
2025-11-02 20:00:00,739,0,176,0
2025-11-02 20:30:00,830,0,206,0
2025-11-02 21:00:00,815,0,175,0
2025-11-02 21:30:00,893,0,247,0
2025-11-02 22:00:00,998,0,286,0
2025-11-02 22:30:00,980,0,257,0
2025-11-02 23:00:00,1019,0,293,0
2025-11-02 23:30:00,877,0,220,0
2025-11-03 00:00:00,897,0,234,0
2025-11-03 00:30:00,662,0,130,0
2025-11-03 01:00:00,652,0,132,0
2025-11-03 01:30:00,901,0,250,0
2025-11-03 02:00:00,902,0,250,0
2025-11-03 02:30:00,1019,0,305,0
2025-11-03 03:00:00,957,0,278,0
2025-11-03 03:30:00,983,0,282,0
2025-11-03 04:00:00,1011,0,298,0
2025-11-03 04:30:00,909,0,263,0
2025-11-03 05:00:00,839,0,220,0
2025-11-03 05:30:00,1006,0,302,0
2025-11-03 06:00:00,846,0,216,0
2025-11-03 06:30:00,683,0,144,0
2025-11-03 07:00:00,808,0,199,0
2025-11-03 07:30:00,792,0,188,0
2025-11-03 08:00:00,660,0,162,0
2025-11-03 08:30:00,875,0,288,0
2025-11-03 09:00:00,1044,0,375,0
2025-11-03 09:30:00,1147,0,445,0
2025-11-03 10:00:00,939,0,412,0
2025-11-03 10:30:00,1121,0,450,0
2025-11-03 11:00:00,1096,0,412,0
2025-11-03 11:30:00,994,0,421,0
2025-11-03 12:00:00,848,0,385,0
2025-11-03 12:30:00,730,0,328,0
2025-11-03 13:00:00,570,0,295,0
2025-11-03 13:30:00,451,0,210,0
2025-11-03 14:00:00,550,0,302,0
2025-11-03 14:30:00,894,0,427,0
2025-11-03 15:00:00,1212,0,447,0
2025-11-03 15:30:00,1151,0,458,0
2025-11-03 16:00:00,1030,0,449,0
2025-11-03 16:30:00,1109,0,448,0
2025-11-03 17:00:00,1114,0,447,0
2025-11-03 17:30:00,832,0,270,0
2025-11-03 18:00:00,1222,0,401,0
2025-11-03 18:30:00,1406,0,444,0
2025-11-03 19:00:00,1380,0,431,0
2025-11-03 19:30:00,1273,0,373,0
2025-11-03 20:00:00,1050,0,275,0
2025-11-03 20:30:00,1097,0,320,0
2025-11-03 21:00:00,1239,0,377,0
2025-11-03 21:30:00,1401,0,445,0
2025-11-03 22:00:00,1400,0,444,0
2025-11-03 22:30:00,1357,0,387,0
2025-11-03 23:00:00,1257,0,369,0
2025-11-03 23:30:00,1260,0,387,0
2025-11-04 00:00:00,1272,0,404,0
2025-11-04 00:30:00,1026,0,261,0
2025-11-04 01:00:00,867,0,214,0
2025-11-04 01:30:00,967,0,273,0
2025-11-04 02:00:00,1141,0,307,0
